code,client,latitude,longitude,surface_area,seeding_date,crop
PLOT00129,CLIENT00308,43.247575,2.150997,19,2026-04-17,Maïs semence
PLOT00134,CLIENT00308,43.889947,1.455959,14.16,2026-04-26,Maïs semence
PLOT00135,CLIENT00308,43.848007,1.505222,11.98,2026-04-22,Maïs semence
PLOT00136,CLIENT00308,43.986161,1.59271,24,2026-05-09,Maïs semence
PLOT00138,CLIENT00308,43.818475,1.45191,29.52,2026-04-29,Maïs semence
PLOT00140,CLIENT00308,44.084244,1.498684,18,2026-04-27,Maïs semence
PLOT00141,CLIENT00308,43.958572,1.164103,8,2026-04-16,Maïs semence
PLOT00143,CLIENT00308,43.933462,1.38801,11,2026-05-21,Maïs semence
PLOT00144,CLIENT00308,44.090911,1.498927,11,2026-05-01,Maïs semence
PLOT00149,CLIENT00308,44.02004,1.486723,17,2026-05-26,Maïs semence
PLOT00150,CLIENT00308,43.911746,1.120102,7,2026-04-24,Maïs semence
PLOT00156,CLIENT00308,43.983548,1.406152,9,2026-04-21,Maïs semence
PLOT00157,CLIENT00308,43.887652,1.451697,6,2026-05-20,Maïs semence
PLOT00159,CLIENT00308,43.864388,1.487628,7,2026-04-25,Maïs semence
PLOT00160,CLIENT00308,44.087222,1.579964,27,2026-04-21,Maïs semence
PLOT00161,CLIENT00308,43.888672,1.128893,11,2026-04-16,Maïs semence
PLOT00167,CLIENT00308,43.917731,1.390459,9,2026-06-16,Maïs semence
PLOT00171,CLIENT00308,44.039139,1.483423,14,2026-04-22,Maïs semence
PLOT00172,CLIENT00308,43.928091,1.137564,7,2026-04-24,Maïs semence
PLOT00174,CLIENT00308,44.142128,1.507415,9,2026-05-10,Maïs semence
PLOT00178,CLIENT00308,43.954641,1.16164,8,2026-04-16,Maïs semence
PLOT00180,CLIENT00308,43.987412,1.601729,7,2026-04-27,Maïs semence
PLOT00185,CLIENT00308,43.248899,1.644312,11,2026-04-20,Maïs semence
PLOT00187,CLIENT00308,43.275868,1.595276,39,2026-04-15,Maïs semence
PLOT00188,CLIENT00308,43.257091,1.591072,27,2026-04-16,Maïs semence
PLOT00192,CLIENT00308,43.270104,1.643127,10.29,2026-04-28,Maïs semence
PLOT00194,CLIENT00308,43.267714,1.594124,40,2026-04-29,Maïs semence
PLOT00196,CLIENT00308,43.151711,1.626502,18,2026-05-14,Maïs semence
PLOT00197,CLIENT00308,43.084563,1.89719,12,2026-04-30,Maïs semence
PLOT00198,CLIENT00308,43.252568,1.588166,7,2026-04-19,Maïs semence
PLOT00200,CLIENT00308,43.276998,1.525276,23,2026-04-24,Maïs semence
PLOT00201,CLIENT00308,43.19692,1.606895,21,2026-04-25,Maïs semence
PLOT00204,CLIENT00308,43.243843,1.621305,25,2026-04-16,Maïs semence
PLOT00205,CLIENT00308,43.286937,1.618423,14,2026-04-17,Maïs semence
PLOT00207,CLIENT00308,43.299814,1.516778,15,2026-04-16,Maïs semence
PLOT00209,CLIENT00308,43.254404,1.568157,22,2026-04-16,Maïs semence
PLOT00212,CLIENT00308,43.101982,1.725628,12,2026-04-24,Maïs semence
PLOT00213,CLIENT00308,43.277943,1.51417,10,2026-04-19,Maïs semence
PLOT00214,CLIENT00308,43.072365,1.795853,12,2026-05-13,Maïs semence
PLOT00215,CLIENT00308,43.085874,1.759973,15,2026-04-29,Maïs semence
PLOT00217,CLIENT00308,43.241642,1.603477,35,2026-04-15,Maïs semence
PLOT00220,CLIENT00308,43.112392,1.72937,21,2026-04-25,Maïs semence
PLOT00221,CLIENT00308,43.23423,1.595903,12,2026-04-16,Maïs semence
PLOT00223,CLIENT00308,43.093126,1.86356,10.5,2026-04-24,Maïs semence
PLOT00225,CLIENT00308,43.306441,1.47924,25,2026-04-18,Maïs semence
PLOT00228,CLIENT00308,42.9819,1.889925,20,2026-05-13,Maïs semence
PLOT00229,CLIENT00308,43.088649,1.9015,16,2026-05-08,Maïs semence
PLOT00234,CLIENT00308,43.277355,1.600542,23,2026-04-29,Maïs semence
PLOT00243,CLIENT00308,43.951112,1.35848,3.4,2026-04-27,Maïs semence
PLOT00246,CLIENT00308,43.120664,1.354394,10,2026-04-29,Maïs semence
PLOT00250,CLIENT00308,43.167079,1.707343,8,2026-05-19,Maïs semence
PLOT00252,CLIENT00308,43.223448,1.732278,9.54,2026-05-21,Maïs semence
PLOT00254,CLIENT00308,43.947484,1.474176,15,2026-04-24,Maïs semence
PLOT00257,CLIENT00308,43.271577,1.559121,68,2026-04-22,Maïs semence
PLOT00259,CLIENT00308,43.256542,1.573027,15,2026-04-23,Maïs semence
PLOT00260,CLIENT00308,43.238467,1.614497,44,2026-04-16,Maïs semence
PLOT00261,CLIENT00308,43.078913,1.769282,14,2026-05-06,Maïs semence
PLOT00266,CLIENT00308,43.261864,1.589551,19,2026-04-21,Maïs semence
PLOT00268,CLIENT00308,43.151576,1.732632,4,2026-05-09,Maïs semence
PLOT00281,CLIENT00308,44.70636,4.81466,1.77,2026-05-13,Maïs semence
PLOT00314,CLIENT00308,44.334706,4.680878,1,2026-04-28,Maïs semence
PLOT00367,CLIENT00308,43.105291,1.965888,0.5,2026-05-20,Maïs semence
PLOT00370,CLIENT00308,44.176439,1.315503,0.5,2026-05-22,Maïs semence
PLOT00376,CLIENT00308,43.191323,1.718592,22.5,2026-04-21,Maïs semence
PLOT00390,CLIENT00308,44.100268,1.55802,6.6,2026-05-23,Maïs semence
PLOT00395,CLIENT00308,43.221704,1.694646,20,2026-05-08,Maïs semence
PLOT00554,CLIENT00308,43.270349,1.633311,26.18,2026-04-29,Maïs semence
PLOT00682,CLIENT00308,43.246308,2.160129,5.5,2026-05-21,Maïs semence
PLOT00690,CLIENT00308,43.635281,1.90197,0.9,2026-04-23,Maïs semence
PLOT00693,CLIENT00308,43.196736,1.693929,10,2026-05-21,Maïs semence
PLOT00697,CLIENT00308,43.853259,1.438392,21,2026-04-16,Maïs semence
PLOT00701,CLIENT00308,44.1139,1.473681,7,2026-05-21,Maïs semence
PLOT00703,CLIENT00308,43.889282,1.104021,22,2026-04-16,Maïs semence
PLOT00710,CLIENT00308,44.038837,1.434199,7,2026-04-27,Maïs semence
PLOT00711,CLIENT00308,43.985862,1.450576,15,2026-04-21,Maïs semence
PLOT00714,CLIENT00308,43.218553,2.126549,22,2026-04-22,Maïs semence
PLOT00716,CLIENT00308,43.872431,1.454929,10.5,2026-04-23,Maïs semence
PLOT00719,CLIENT00308,43.25023,1.58987,16,2026-04-19,Maïs semence
PLOT00720,CLIENT00308,43.064569,1.740603,15,2026-05-07,Maïs semence
PLOT00726,CLIENT00308,44.112075,1.4711,6.5,2026-05-19,Maïs semence
PLOT00730,CLIENT00308,43.874802,1.45168,18,2026-04-23,Maïs semence
PLOT00743,CLIENT00308,43.283744,2.143916,9,2026-05-08,Maïs semence
PLOT00747,CLIENT00308,44.031443,1.449256,20,2026-04-20,Maïs semence
PLOT00749,CLIENT00308,43.922174,1.432905,10,2026-05-24,Maïs semence
PLOT00784,CLIENT00308,44.620051,4.872578,2,2026-04-22,Maïs semence
PLOT00785,CLIENT00308,44.549454,4.79299,3.5,2026-04-25,Maïs semence
PLOT00801,CLIENT00308,43.062155,1.94483,4,2026-05-04,Maïs semence
PLOT00804,CLIENT00308,43.206106,1.735566,3.2,2026-05-02,Maïs semence
PLOT00809,CLIENT00308,44.114857,1.599577,4.5,2026-05-25,Maïs semence
PLOT00814,CLIENT00308,43.362629,1.937614,5,2026-05-12,Maïs semence
PLOT00818,CLIENT00308,44.112705,1.538695,3.7,2026-05-01,Maïs semence
PLOT00820,CLIENT00308,43.112583,1.711403,4,2026-05-08,Maïs semence
PLOT00821,CLIENT00308,43.03852,1.701314,6.6,2026-05-22,Maïs semence
PLOT00824,CLIENT00308,43.20028,1.556712,2.5,2026-04-25,Maïs semence
PLOT00825,CLIENT00308,43.132481,1.381636,6,2026-05-03,Maïs semence
PLOT00827,CLIENT00308,43.193175,1.803589,6.1,2026-05-20,Maïs semence
PLOT00831,CLIENT00308,43.359872,1.791676,5.1,2026-05-21,Maïs semence
PLOT00833,CLIENT00308,43.491571,1.948695,1.7,2026-05-10,Maïs semence
PLOT00834,CLIENT00308,43.505117,1.92296,1.4,2026-05-21,Maïs semence
PLOT00835,CLIENT00308,43.50518,1.909588,2.6,2026-05-21,Maïs semence
PLOT00836,CLIENT00308,43.505087,1.926724,5.2,2026-05-08,Maïs semence
PLOT00837,CLIENT00308,43.49136,1.953639,1,2026-04-30,Maïs semence
PLOT00838,CLIENT00308,43.508359,1.914388,2.9,2026-05-21,Maïs semence
PLOT00844,CLIENT00308,43.987838,1.620203,5.2,2026-04-22,Maïs semence
PLOT00847,CLIENT00308,43.176027,1.879107,3.5,2026-05-14,Maïs semence
PLOT00852,CLIENT00308,43.656628,1.762163,1.1,2026-04-24,Maïs semence
PLOT00854,CLIENT00308,43.251125,1.521694,3.1,2026-04-28,Maïs semence
PLOT00855,CLIENT00308,43.195455,1.830392,4.4,2026-04-28,Maïs semence
PLOT00858,CLIENT00308,43.885164,1.684625,4.5,2026-04-30,Maïs semence
PLOT00859,CLIENT00308,43.420618,1.804857,6.5,2026-05-01,Maïs semence
PLOT00877,CLIENT00308,44.62889,4.899536,1,2026-04-21,Maïs semence
PLOT00878,CLIENT00308,43.633661,1.749472,2.3,2026-04-24,Maïs semence
PLOT01167,CLIENT00308,43.604301,1.998621,0.4,2026-05-21,Maïs semence
PLOT01168,CLIENT00308,43.600497,2.006583,3,2026-05-12,Maïs semence
PLOT01252,CLIENT00308,43.264203,1.649379,13.75,2026-04-16,Maïs grain *
PLOT01263,CLIENT00308,43.212948,1.728897,2.4,2026-05-03,Maïs semence
PLOT01265,CLIENT00308,44.614394,4.766132,3.2,2026-05-22,Maïs semence
PLOT01382,CLIENT00308,43.294214,2.087697,9,2026-04-26,Maïs semence
PLOT01384,CLIENT00308,43.762945,1.62454,24.52,2026-04-27,Maïs semence
PLOT01389,CLIENT00308,43.232439,1.713607,10,2026-05-13,Maïs semence
PLOT01390,CLIENT00308,43.280761,2.130827,3.93,2026-05-04,Maïs semence
PLOT01391,CLIENT00308,43.182277,1.836259,15,2026-05-11,Maïs semence
PLOT01395,CLIENT00308,43.097476,1.728605,18,2026-04-25,Maïs semence
PLOT01396,CLIENT00308,43.082497,1.785434,32,2026-05-08,Maïs semence
PLOT01397,CLIENT00308,43.193948,1.613918,20,2026-05-05,Maïs semence
PLOT01399,CLIENT00308,43.176436,1.714445,22,2026-05-01,Maïs semence
PLOT01403,CLIENT00308,43.160596,1.635316,13.19,2026-04-22,Maïs semence
PLOT01544,CLIENT00308,43.894617,1.466612,21.5,2026-04-29,Maïs semence
PLOT01545,CLIENT00308,43.87674,1.413897,18,2026-04-17,Maïs semence
PLOT01551,CLIENT00308,43.30537,1.771062,2.3,2026-04-28,Maïs semence
PLOT01558,CLIENT00308,43.109995,1.364821,4,2026-05-08,Maïs semence
PLOT01599,CLIENT00308,44.20753,1.489901,7,2026-05-09,Maïs semence
PLOT01787,CLIENT00308,43.984107,1.601958,5,2026-04-24,Maïs semence
PLOT01867,CLIENT00308,43.890834,1.218413,5.24,2026-04-21,Maïs grain *
PLOT01876,CLIENT00308,43.274125,1.639152,19.21,2026-05-01,Maïs semence
PLOT01877,CLIENT00308,43.211462,1.736802,14.2,2026-05-01,Soja *
PLOT01913,CLIENT00308,44.50868,4.796687,2,2026-05-13,MAIS_SEMENCE
PLOT01976,CLIENT00308,43.875702,1.408455,0.09,2026-04-17,Maïs semence
PLOT01977,CLIENT00308,43.890304,1.461801,26.79,2026-04-27,Maïs semence
PLOT01978,CLIENT00308,43.192532,1.723305,0.04,2026-04-23,Maïs semence
PLOT01979,CLIENT00308,44.084456,1.591064,10.1,2026-04-22,Maïs semence
PLOT01981,CLIENT00308,43.077543,1.74864,5.5,2026-05-06,Maïs semence
PLOT01982,CLIENT00308,43.195456,1.629137,8.43,2026-04-24,Maïs semence
PLOT01983,CLIENT00308,43.259626,2.047492,4.57,2026-04-20,Maïs semence
PLOT01984,CLIENT00308,43.2356,1.588325,0.01,2026-04-17,Maïs semence
PLOT01985,CLIENT00308,43.222153,1.699045,0.01,2026-04-21,Maïs semence
PLOT01986,CLIENT00308,44.08058,1.462144,8.09,2026-04-23,Maïs semence
PLOT01987,CLIENT00308,43.179814,1.854636,6.23,2026-05-09,Maïs semence
PLOT01988,CLIENT00308,43.262012,1.537258,11.46,2026-05-04,Maïs semence
PLOT01989,CLIENT00308,43.081807,1.745378,26.35,2026-05-01,Maïs semence
PLOT01990,CLIENT00308,43.253662,1.605992,21.54,2026-04-17,Maïs semence
PLOT01991,CLIENT00308,43.294297,1.518703,15.55,2026-04-19,Maïs semence
PLOT01992,CLIENT00308,43.918188,1.429243,13.82,2026-05-23,Maïs semence
PLOT01993,CLIENT00308,43.828418,1.479601,16.56,2026-04-24,Maïs semence
PLOT01994,CLIENT00308,43.264834,1.598919,9.84,2026-04-29,Maïs semence
PLOT01995,CLIENT00308,43.25994,1.583839,5.59,2026-04-21,Maïs semence
PLOT01997,CLIENT00308,44.614132,4.900753,1.88,2026-04-27,Maïs semence
PLOT01998,CLIENT00308,44.611994,4.835884,2.33,2026-04-26,Maïs semence
PLOT01999,CLIENT00308,44.611134,4.88043,3.05,2026-04-25,Maïs semence
PLOT02000,CLIENT00308,44.562271,4.92609,1.95,2026-04-18,Maïs semence
PLOT02001,CLIENT00308,44.334295,4.705613,1.82,2026-05-01,Maïs semence
PLOT02125,CLIENT00308,44.113412,1.608264,4,2026-05-20,Maïs semence
PLOT02126,CLIENT00308,43.65693,1.749484,2.3,2026-05-27,Maïs semence
PLOT02127,CLIENT00308,43.65343,1.755489,4.1,2026-05-23,Maïs semence
PLOT02128,CLIENT00308,43.146176,1.319562,1,2026-05-10,Maïs semence
PLOT02129,CLIENT00308,43.125967,1.334604,1.9,2026-05-13,Maïs semence
PLOT02130,CLIENT00308,43.325487,1.874262,4.5,2026-05-11,Maïs semence
PLOT02131,CLIENT00308,43.88375,1.639624,4.2,2026-05-09,Maïs semence
PLOT02132,CLIENT00308,43.191368,1.390358,6,2026-04-27,Maïs semence
PLOT02133,CLIENT00308,43.799918,1.750398,5.8,2026-04-30,Maïs semence
PLOT02134,CLIENT00308,43.804302,1.844032,5.7,2026-04-29,Maïs semence
PLOT02135,CLIENT00308,43.144828,1.366814,4.3,2026-05-10,Maïs semence
PLOT02136,CLIENT00308,43.220015,2.280757,2.91,2026-04-29,Maïs semence
PLOT02137,CLIENT00308,43.199529,1.723807,9.81,2026-04-27,Maïs semence
PLOT02138,CLIENT00308,43.714002,1.780383,0.8,2026-05-26,Maïs semence
PLOT02139,CLIENT00308,43.151503,1.413708,4.1,2026-05-21,Maïs semence
PLOT02140,CLIENT00308,43.251193,2.078282,0.5,2026-04-29,Maïs semence
PLOT02141,CLIENT00308,43.60662,2.00157,1.1,2026-04-30,Maïs semence
PLOT02142,CLIENT00308,43.978645,1.603248,3.3,2026-05-09,Maïs semence
PLOT02143,CLIENT00308,43.253892,2.249094,0.5,2026-04-27,Maïs semence
PLOT02144,CLIENT00308,43.508431,1.787882,0.5,2026-04-23,Maïs semence
PLOT02145,CLIENT00308,43.505371,1.797862,1,2026-04-23,Maïs semence
PLOT02146,CLIENT00308,43.191695,1.551484,0.8,2026-04-25,Maïs semence
PLOT02147,CLIENT00308,43.25214,2.023185,3.6,2026-04-30,Maïs semence
PLOT02148,CLIENT00308,43.356639,1.890952,2.7,2026-05-02,Maïs semence
PLOT02149,CLIENT00308,43.254644,2.084526,6.88,2026-04-27,Maïs semence
PLOT02150,CLIENT00308,43.254386,2.090678,11.66,2026-04-22,Maïs semence
PLOT02151,CLIENT00308,43.376786,1.768875,2.5,2026-05-10,Maïs semence
PLOT02171,CLIENT00308,44.587127,4.938612,2.09,2026-05-09,Maïs semence
PLOT02172,CLIENT00308,44.586212,4.847542,2.22,2026-04-27,Maïs semence
PLOT02173,CLIENT00308,44.589683,4.772912,1.7,2026-05-16,Maïs semence
PLOT02174,CLIENT00308,44.625454,4.904522,2.73,2026-05-13,Maïs semence
PLOT02175,CLIENT00308,44.610308,4.85557,2.37,2026-05-19,Maïs semence
PLOT02176,CLIENT00308,44.64603,4.796038,1.81,2026-05-14,Maïs semence
PLOT02177,CLIENT00308,44.584579,4.769911,1.6,2026-04-27,Maïs semence
PLOT02178,CLIENT00308,44.523519,4.856166,2.09,2026-05-20,Maïs semence
PLOT02179,CLIENT00308,44.684425,4.793335,4.66,2026-05-20,Maïs semence
PLOT02180,CLIENT00308,44.57481,4.899832,0.92,2026-04-18,Maïs semence
PLOT02181,CLIENT00308,44.472222,4.788444,1.57,2026-04-27,Maïs semence
PLOT02199,CLIENT00308,43.139236,1.701047,2.78,2026-05-21,Maïs semence
PLOT02539,CLIENT00308,43.875404,1.419507,16.81,2026-05-27,Maïs semence
PLOT02572,CLIENT00308,43.246176,1.616836,0.21,2026-03-17,Maïs grain *
PLOT02573,CLIENT00308,43.244972,1.615045,0.08,2026-04-20,Maïs grain *
PLOT02574,CLIENT00308,43.247542,1.665031,0.45,2026-04-23,Maïs grain *
PLOT02575,CLIENT00308,43.28909,1.50648,0.58,2026-05-01,Maïs grain *
PLOT02576,CLIENT00308,43.29179,1.505979,0.33,2026-05-02,Maïs grain *
PLOT02579,CLIENT00308,43.872431,1.454929,10.5,2026-04-23,Maïs semence
PLOT02584,CLIENT00308,43.235805,1.654516,4.45,2026-04-20,Maïs grain *
