code,data_type,unit,n_points,total,first_date,last_date
PLOT00049,irrigation,mm,11,229.0,2026-06-12T00:00:00Z,2026-07-25T00:00:00Z
PLOT00049,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00050,irrigation,mm,11,247.0,2026-06-11T00:00:00Z,2026-07-25T00:00:00Z
PLOT00050,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00051,irrigation,mm,11,244.0,2026-06-12T00:00:00Z,2026-07-25T00:00:00Z
PLOT00051,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00061,rainfalls,mm,97,121.6,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00077,rainfalls,mm,109,481.6,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT00079,irrigation,mm,2,25.0,2026-05-24T00:00:00Z,2026-06-03T00:00:00Z
PLOT00079,rainfalls,mm,60,340.0,2026-05-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT00083,irrigation,mm,9,215.0,2026-06-14T00:00:00Z,2026-07-23T00:00:00Z
PLOT00083,rainfalls,mm,99,82.0,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00088,irrigation,mm,97,0.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00088,rainfalls,mm,97,271.40000000000003,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00098,irrigation,mm,1,6.0,2026-05-02T00:00:00Z,2026-05-02T00:00:00Z
PLOT00098,rainfalls,mm,77,474.6,2026-05-12T00:00:00Z,2026-07-27T00:00:00Z
PLOT00100,irrigation,mm,4,70.0,2026-06-28T00:00:00Z,2026-07-13T00:00:00Z
PLOT00100,rainfalls,mm,99,348.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00102,rainfalls,mm,63,191.2,2026-05-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00103,rainfalls,mm,64,189.0,2026-04-25T00:00:00Z,2026-06-27T00:00:00Z
PLOT00106,rainfalls,mm,95,478.8,2026-04-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT00107,irrigation,mm,68,253.60000000000002,2026-05-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT00107,rainfalls,mm,111,121.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00108,irrigation,mm,81,205.0,2026-05-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00108,rainfalls,mm,81,67.60000000000001,2026-05-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00109,rainfalls,mm,77,259.2,2026-05-12T00:00:00Z,2026-07-27T00:00:00Z
PLOT00111,rainfalls,mm,91,282.8,2026-04-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT00112,irrigation,mm,81,200.4,2026-05-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00112,rainfalls,mm,109,160.6,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT00113,irrigation,mm,6,113.6,2026-05-24T00:00:00Z,2026-06-27T00:00:00Z
PLOT00113,rainfalls,mm,94,341.4,2026-04-25T00:00:00Z,2026-07-27T00:00:00Z
PLOT00119,irrigation,mm,6,36.0,2026-05-20T00:00:00Z,2026-05-30T00:00:00Z
PLOT00119,rainfalls,mm,63,264.6,2026-05-26T00:00:00Z,2026-07-27T00:00:00Z
PLOT00120,rainfalls,mm,111,308.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00124,irrigation,mm,7,56.0,2026-05-02T00:00:00Z,2026-05-31T00:00:00Z
PLOT00124,rainfalls,mm,94,461.8,2026-04-25T00:00:00Z,2026-07-27T00:00:00Z
PLOT00125,rainfalls,mm,71,313.2,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT00127,irrigation,mm,1,8.0,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z
PLOT00127,rainfalls,mm,49,273.8,2026-06-02T00:00:00Z,2026-07-26T00:00:00Z
PLOT00128,irrigation,mm,3,52.599999999999994,2026-06-01T00:00:00Z,2026-06-23T00:00:00Z
PLOT00128,rainfalls,mm,63,258.4,2026-05-26T00:00:00Z,2026-07-27T00:00:00Z
PLOT00129,irrigation,mm,16,260.6,2026-05-19T00:00:00Z,2026-07-10T00:00:00Z
PLOT00129,rainfalls,mm,284,565.006,2023-05-11T00:00:00Z,2026-07-27T00:00:00Z
PLOT00134,irrigation,mm,4,55.0,2026-05-24T00:00:00Z,2026-06-19T00:00:00Z
PLOT00134,rainfalls,mm,91,268.6,2026-04-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT00135,irrigation,mm,1,8.0,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z
PLOT00135,rainfalls,mm,59,338.8,2026-05-07T00:00:00Z,2026-07-26T00:00:00Z
PLOT00136,rainfalls,mm,111,461.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00138,irrigation,mm,5,92.0,2026-05-23T00:00:00Z,2026-06-17T00:00:00Z
PLOT00138,rainfalls,mm,90,410.2,2026-04-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT00140,rainfalls,mm,111,327.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00141,irrigation,mm,12,177.4,2026-05-30T00:00:00Z,2026-07-08T00:00:00Z
PLOT00141,rainfalls,mm,111,252.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00143,irrigation,mm,14,248.2,2026-06-14T00:00:00Z,2026-07-21T00:00:00Z
PLOT00143,rainfalls,mm,111,178.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00144,rainfalls,mm,111,363.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00149,rainfalls,mm,71,258.8,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT00150,irrigation,mm,10,260.0,2026-05-26T00:00:00Z,2026-07-21T00:00:00Z
PLOT00150,rainfalls,mm,111,244.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00156,rainfalls,mm,98,577.5,2026-04-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT00157,rainfalls,mm,71,192.0,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT00159,irrigation,mm,4,60.0,2026-04-30T00:00:00Z,2026-06-13T00:00:00Z
PLOT00159,rainfalls,mm,100,464.8,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00160,rainfalls,mm,111,470.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00161,rainfalls,mm,111,335.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00167,rainfalls,mm,111,440.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00171,rainfalls,mm,111,365.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00172,rainfalls,mm,109,390.6,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT00174,rainfalls,mm,111,540.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00178,rainfalls,mm,111,524.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00180,irrigation,mm,1,15.0,2026-04-29T00:00:00Z,2026-04-29T00:00:00Z
PLOT00180,rainfalls,mm,109,450.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT00185,irrigation,mm,4,70.0,2026-05-23T00:00:00Z,2026-06-18T00:00:00Z
PLOT00185,rainfalls,mm,95,367.2,2026-04-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT00187,rainfalls,mm,111,370.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00188,irrigation,mm,11,110.0,2026-05-24T00:00:00Z,2026-06-17T00:00:00Z
PLOT00188,rainfalls,mm,95,359.4,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00192,irrigation,mm,19,258.0,2026-05-30T00:00:00Z,2026-07-25T00:00:00Z
PLOT00192,rainfalls,mm,45,120.017,2026-04-28T00:00:00Z,2026-06-28T00:00:00Z
PLOT00194,rainfalls,mm,90,330.6,2026-04-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT00196,irrigation,mm,5,76.8,2026-06-15T00:00:00Z,2026-06-27T00:00:00Z
PLOT00196,rainfalls,mm,108,197.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00197,rainfalls,mm,111,318.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00198,irrigation,mm,9,71.0,2026-06-02T00:00:00Z,2026-06-18T00:00:00Z
PLOT00198,rainfalls,mm,111,857.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00200,rainfalls,mm,111,345.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00201,rainfalls,mm,111,338.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00204,rainfalls,mm,111,630.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00205,irrigation,mm,102,0.0,2026-04-17T00:00:00Z,2026-07-27T00:00:00Z
PLOT00205,rainfalls,mm,111,398.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00207,rainfalls,mm,111,501.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00209,irrigation,mm,103,0.0,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00209,rainfalls,mm,103,409.8,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00212,rainfalls,mm,111,268.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00213,irrigation,mm,19,225.0,2026-05-28T00:00:00Z,2026-07-22T00:00:00Z
PLOT00213,rainfalls,mm,111,130.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00214,rainfalls,mm,76,339.4,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT00215,rainfalls,mm,90,415.6,2026-04-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT00217,irrigation,mm,3,24.0,2026-05-21T00:00:00Z,2026-05-25T00:00:00Z
PLOT00217,rainfalls,mm,104,507.5,2026-04-15T00:00:00Z,2026-07-27T00:00:00Z
PLOT00220,irrigation,mm,4,40.0,2026-05-24T00:00:00Z,2026-06-03T00:00:00Z
PLOT00221,rainfalls,mm,103,202.2,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00223,rainfalls,mm,111,283.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00225,irrigation,mm,11,0.0,2026-04-18T00:00:00Z,2026-04-28T00:00:00Z
PLOT00225,rainfalls,mm,111,404.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00228,rainfalls,mm,76,91.0,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT00229,rainfalls,mm,111,242.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00234,irrigation,mm,27,14.0,2026-04-22T00:00:00Z,2026-05-18T00:00:00Z
PLOT00234,rainfalls,mm,111,366.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00243,irrigation,mm,8,300.0,2026-06-15T00:00:00Z,2026-07-22T00:00:00Z
PLOT00243,rainfalls,mm,99,181.4,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00246,rainfalls,mm,99,230.0,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00250,irrigation,mm,70,124.0,2026-05-19T00:00:00Z,2026-07-27T00:00:00Z
PLOT00250,rainfalls,mm,111,119.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00252,irrigation,mm,68,174.6,2026-05-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT00252,rainfalls,mm,111,147.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00254,irrigation,mm,1,10.0,2026-06-08T00:00:00Z,2026-06-08T00:00:00Z
PLOT00254,rainfalls,mm,95,369.0,2026-04-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT00257,rainfalls,mm,111,395.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00259,irrigation,mm,96,328.2,2026-04-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT00259,rainfalls,mm,111,87.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00260,irrigation,mm,103,366.6,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00260,rainfalls,mm,103,61.2,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00261,rainfalls,mm,21,46.199999999999996,2026-05-06T00:00:00Z,2026-07-27T00:00:00Z
PLOT00266,irrigation,mm,95,366.6,2026-04-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT00266,rainfalls,mm,111,108.39999999999999,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00268,irrigation,mm,1,20.0,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z
PLOT00268,rainfalls,mm,80,245.9,2026-05-09T00:00:00Z,2026-07-27T00:00:00Z
PLOT00281,rainfalls,mm,71,399.8,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT00314,irrigation,mm,2,38.0,2026-04-30T00:00:00Z,2026-05-20T00:00:00Z
PLOT00314,rainfalls,mm,111,502.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00367,irrigation,mm,11,245.0,2026-06-12T00:00:00Z,2026-07-25T00:00:00Z
PLOT00367,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00370,rainfalls,mm,99,267.0,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00376,irrigation,mm,98,280.2,2026-04-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT00376,rainfalls,mm,111,95.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00390,rainfalls,mm,97,328.8,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00395,irrigation,mm,104,210.0,2026-04-15T00:00:00Z,2026-07-27T00:00:00Z
PLOT00395,rainfalls,mm,111,110.0,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00554,rainfalls,mm,90,398.2,2026-04-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT00682,irrigation,mm,10,250.0,2026-05-25T00:00:00Z,2026-07-20T00:00:00Z
PLOT00682,rainfalls,mm,97,50.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00690,irrigation,mm,6,180.0,2026-06-18T00:00:00Z,2026-07-20T00:00:00Z
PLOT00690,rainfalls,mm,96,111.1,2026-04-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT00693,irrigation,mm,68,160.4,2026-05-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT00693,rainfalls,mm,111,96.4,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00697,irrigation,mm,7,100.0,2026-04-21T00:00:00Z,2026-07-03T00:00:00Z
PLOT00697,rainfalls,mm,103,363.8,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00701,rainfalls,mm,91,259.0,2026-04-09T00:00:00Z,2026-07-27T00:00:00Z
PLOT00703,irrigation,mm,5,69.0,2026-05-28T00:00:00Z,2026-06-20T00:00:00Z
PLOT00703,rainfalls,mm,103,293.6,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT00710,irrigation,mm,1,30.0,2026-06-16T00:00:00Z,2026-06-16T00:00:00Z
PLOT00710,rainfalls,mm,111,427.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00711,irrigation,mm,10,240.0,2026-04-28T00:00:00Z,2026-07-20T00:00:00Z
PLOT00711,rainfalls,mm,76,72.0,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT00714,rainfalls,mm,97,405.8,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00716,irrigation,mm,1,10.0,2026-04-25T00:00:00Z,2026-04-25T00:00:00Z
PLOT00716,rainfalls,mm,92,375.8,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT00719,irrigation,mm,10,80.0,2026-05-29T00:00:00Z,2026-06-18T00:00:00Z
PLOT00719,rainfalls,mm,111,471.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00720,rainfalls,mm,111,335.1,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00726,rainfalls,mm,111,457.40000000000003,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00730,irrigation,mm,1,10.0,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z
PLOT00730,rainfalls,mm,92,375.8,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT00743,irrigation,mm,1,20.0,2026-05-21T00:00:00Z,2026-05-21T00:00:00Z
PLOT00743,rainfalls,mm,81,198.0,2026-05-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00747,irrigation,mm,1,25.0,2026-06-19T00:00:00Z,2026-06-19T00:00:00Z
PLOT00747,rainfalls,mm,99,424.8,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00749,irrigation,mm,1,25.0,2026-07-19T00:00:00Z,2026-07-19T00:00:00Z
PLOT00749,rainfalls,mm,65,353.2,2026-05-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT00784,rainfalls,mm,97,559.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00785,rainfalls,mm,93,458.6,2026-04-26T00:00:00Z,2026-07-27T00:00:00Z
PLOT00801,irrigation,mm,9,200.0,2026-05-31T00:00:00Z,2026-07-15T00:00:00Z
PLOT00801,rainfalls,mm,99,154.4,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00804,irrigation,mm,15,246.0,2026-05-10T00:00:00Z,2026-07-25T00:00:00Z
PLOT00804,rainfalls,mm,97,111.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00809,irrigation,mm,10,300.0,2026-06-01T00:00:00Z,2026-07-23T00:00:00Z
PLOT00809,rainfalls,mm,71,47.8,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT00814,irrigation,mm,2,55.0,2026-06-09T00:00:00Z,2026-07-20T00:00:00Z
PLOT00814,rainfalls,mm,97,267.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00818,irrigation,mm,2,60.0,2026-05-31T00:00:00Z,2026-06-17T00:00:00Z
PLOT00818,rainfalls,mm,41,349.8,2026-06-17T00:00:00Z,2026-07-27T00:00:00Z
PLOT00820,irrigation,mm,1,18.4,2026-06-18T00:00:00Z,2026-06-18T00:00:00Z
PLOT00820,rainfalls,mm,81,211.4,2026-05-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00821,irrigation,mm,2,45.0,2026-06-02T00:00:00Z,2026-06-21T00:00:00Z
PLOT00821,rainfalls,mm,48,122.8,2026-06-04T00:00:00Z,2026-07-27T00:00:00Z
PLOT00824,irrigation,mm,8,192.0,2026-06-10T00:00:00Z,2026-07-24T00:00:00Z
PLOT00824,rainfalls,mm,99,82.0,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00825,rainfalls,mm,97,209.6,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00827,irrigation,mm,68,202.2,2026-05-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00827,rainfalls,mm,97,81.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00831,irrigation,mm,4,95.0,2026-05-16T00:00:00Z,2026-07-15T00:00:00Z
PLOT00831,rainfalls,mm,97,273.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00833,irrigation,mm,11,207.0,2026-06-18T00:00:00Z,2026-07-23T00:00:00Z
PLOT00833,rainfalls,mm,99,95.2,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00834,irrigation,mm,10,150.0,2026-06-16T00:00:00Z,2026-07-23T00:00:00Z
PLOT00834,rainfalls,mm,99,101.60000000000001,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00835,irrigation,mm,12,180.0,2026-06-17T00:00:00Z,2026-07-24T00:00:00Z
PLOT00835,rainfalls,mm,99,101.60000000000001,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00836,irrigation,mm,11,165.0,2026-06-16T00:00:00Z,2026-07-23T00:00:00Z
PLOT00836,rainfalls,mm,99,101.60000000000001,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00837,irrigation,mm,11,174.0,2026-06-18T00:00:00Z,2026-07-22T00:00:00Z
PLOT00837,rainfalls,mm,89,95.2,2026-04-30T00:00:00Z,2026-07-27T00:00:00Z
PLOT00838,irrigation,mm,10,150.0,2026-06-15T00:00:00Z,2026-07-22T00:00:00Z
PLOT00838,rainfalls,mm,99,101.60000000000001,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00844,irrigation,mm,27,282.3,2026-04-24T00:00:00Z,2026-07-22T00:00:00Z
PLOT00844,rainfalls,mm,97,112.6,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00847,rainfalls,mm,99,345.2,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00852,irrigation,mm,11,260.0,2026-04-24T00:00:00Z,2026-07-23T00:00:00Z
PLOT00852,rainfalls,mm,95,111.0,2026-04-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT00854,rainfalls,mm,97,279.6,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00855,rainfalls,mm,82,304.0,2026-04-28T00:00:00Z,2026-07-26T00:00:00Z
PLOT00858,irrigation,mm,8,245.0,2026-06-12T00:00:00Z,2026-07-23T00:00:00Z
PLOT00858,rainfalls,mm,89,78.8,2026-04-30T00:00:00Z,2026-07-27T00:00:00Z
PLOT00859,irrigation,mm,1,30.0,2026-07-11T00:00:00Z,2026-07-11T00:00:00Z
PLOT00859,rainfalls,mm,97,279.6,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT00877,irrigation,mm,1,35.0,2026-05-27T00:00:00Z,2026-05-27T00:00:00Z
PLOT00877,rainfalls,mm,109,551.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT00878,irrigation,mm,10,200.0,2026-06-03T00:00:00Z,2026-07-21T00:00:00Z
PLOT00878,rainfalls,mm,95,104.4,2026-04-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT01167,irrigation,mm,8,175.0,2026-06-10T00:00:00Z,2026-07-23T00:00:00Z
PLOT01167,rainfalls,mm,92,90.4,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT01168,irrigation,mm,8,155.0,2026-06-01T00:00:00Z,2026-07-21T00:00:00Z
PLOT01168,rainfalls,mm,92,90.4,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT01252,irrigation,mm,20,268.0,2026-05-30T00:00:00Z,2026-07-21T00:00:00Z
PLOT01252,rainfalls,mm,2,24.0,2026-06-05T00:00:00Z,2026-06-28T00:00:00Z
PLOT01263,irrigation,mm,14,243.0,2026-05-11T00:00:00Z,2026-07-24T00:00:00Z
PLOT01263,rainfalls,mm,97,111.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT01265,rainfalls,mm,67,304.2,2026-05-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT01382,rainfalls,mm,93,283.7,2026-04-26T00:00:00Z,2026-07-27T00:00:00Z
PLOT01384,rainfalls,mm,71,392.6,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT01389,irrigation,mm,76,254.8,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT01389,rainfalls,mm,76,76.0,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT01390,irrigation,mm,2,45.0,2026-06-05T00:00:00Z,2026-06-17T00:00:00Z
PLOT01390,rainfalls,mm,40,220.6,2026-05-14T00:00:00Z,2026-07-27T00:00:00Z
PLOT01391,irrigation,mm,78,222.4,2026-05-11T00:00:00Z,2026-07-27T00:00:00Z
PLOT01391,rainfalls,mm,111,95.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT01395,rainfalls,mm,111,360.6,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT01396,rainfalls,mm,111,271.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT01397,irrigation,mm,15,192.0,2026-05-25T00:00:00Z,2026-07-16T00:00:00Z
PLOT01397,rainfalls,mm,71,68.0,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT01399,irrigation,mm,6,48.0,2026-05-02T00:00:00Z,2026-05-30T00:00:00Z
PLOT01399,rainfalls,mm,72,333.0,2026-05-02T00:00:00Z,2026-07-27T00:00:00Z
PLOT01403,irrigation,mm,17,154.8,2026-05-27T00:00:00Z,2026-07-04T00:00:00Z
PLOT01403,rainfalls,mm,97,238.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT01544,irrigation,mm,2,15.0,2026-06-11T00:00:00Z,2026-06-16T00:00:00Z
PLOT01544,rainfalls,mm,91,286.0,2026-04-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT01545,irrigation,mm,4,36.0,2026-04-21T00:00:00Z,2026-05-28T00:00:00Z
PLOT01545,rainfalls,mm,103,470.2,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT01551,irrigation,mm,3,60.0,2026-06-06T00:00:00Z,2026-07-06T00:00:00Z
